mentor_name,email,specializations
Stephanie,stephanie@test.com, Data Science
Gerard,gerard@test.com, Data Science
Kirsty,kirsty@test.com, Data Science
Stephanie,stephanie@test.com, Dentistry
Gerard,gerard@test.com, Dentistry
Kirsty,kirsty@test.com, Dentistry
Stephanie,stephanie@test.com, Drama Dance and Cinematics
Gerard,gerard@test.com, Drama Dance and Cinematics
Kirsty,kirsty@test.com, Drama Dance and Cinematics
Nick,nick@test.com, Economics
Callum,callum@test.com, Economics
Kris,kris@test.com, Economics
Nick,nick@test.com, Education
Callum,callum@test.com, Education
Kris,kris@test.com, Education
Nick,nick@test.com, Electrical and Electronic Engineering
Callum,callum@test.com, Electrical and Electronic Engineering
Kris,kris@test.com, Electrical and Electronic Engineering
April,april@test.com, English
Mark,mark@test.com, English
Katie,katie@test.com, English
April,april@test.com, Fashion
Mark,mark@test.com, Fashion
Katie,katie@test.com, Fashion
April,april@test.com, Film Making
Mark,mark@test.com, Film Making
Katie,katie@test.com, Film Making
George,george@test.com, Food Science
Chloe,chloe@test.com, Food Science
Kelly,kelly@test.com, Food Science
George,george@test.com, Forensic Science
Chloe,chloe@test.com, Forensic Science
Kelly,kelly@test.com, Forensic Science
George,george@test.com, General Engineering
Chloe,chloe@test.com, General Engineering
Kelly,kelly@test.com, General Engineering
Rachel,rachel@test.com, Geography and Environmental Sciences
Ruth,ruth@test.com, Geography and Environmental Sciences
Lauren,lauren@test.com, Geography and Environmental Sciences
Rachel,rachel@test.com, Geology
Ruth,ruth@test.com, Geology
Lauren,lauren@test.com, Geology
Rachel,rachel@test.com, Health And Social Care
Ruth,ruth@test.com, Health And Social Care
Lauren,lauren@test.com, Health And Social Care
Liam,liam@test.com, History
Oliver,oliver@test.com, History
Tom,tom@test.com, History
Liam,liam@test.com, History of Art Architecture and Design
Oliver,oliver@test.com, History of Art Architecture and Design
Tom,tom@test.com, History of Art Architecture and Design
Liam,liam@test.com, Hospitality Leisure Recreation and Tourism
Oliver,oliver@test.com, Hospitality Leisure Recreation and Tourism
Tom,tom@test.com, Hospitality Leisure Recreation and Tourism
Sean,sean@test.com, Information Technology
Connor,connor@test.com, Information Technology
Richard,richard@test.com, Information Technology
Sean,sean@test.com, Land and Property Management
Connor,connor@test.com, Land and Property Management
Richard,richard@test.com, Land and Property Management
Sean,sean@test.com, Law
Connor,connor@test.com, Law
Richard,richard@test.com, Law
Jake,jake@test.com, Linguistics
Samuel,samuel@test.com, Linguistics
Simone,simone@test.com, Linguistics
Jake,jake@test.com, Marketing
Samuel,samuel@test.com, Marketing
Simone,simone@test.com, Marketing
Jake,jake@test.com, Materials Technology
Samuel,samuel@test.com, Materials Technology
Simone,simone@test.com, Materials Technology
Joseph,joseph@test.com, Mathematics
Karnan,karnan@test.com, Mathematics
Charlie,charlie@test.com, Mathematics
Joseph,joseph@test.com, Mechanical Engineering
Karnan,karnan@test.com, Mechanical Engineering
Charlie,charlie@test.com, Mechanical Engineering
Joseph,joseph@test.com, Medical Technology
Karnan,karnan@test.com, Medical Technology
Charlie,charlie@test.com, Medical Technology
Harry,harry@test.com, Medicine
Matthew,matthew@test.com, Medicine
Emily,emily@test.com, Medicine
Harry,harry@test.com, Music
Matthew,matthew@test.com, Music
Emily,emily@test.com, Music
Harry,harry@test.com, Neuroscience
Matthew,matthew@test.com, Neuroscience
Emily,emily@test.com, Neuroscience
Jordan,jordan@test.com, Nursing
Gary,gary@test.com, Nursing
Craig,craig@test.com, Nursing
Jordan,jordan@test.com, Occupational Therapy
Gary,gary@test.com, Occupational Therapy
Craig,craig@test.com, Occupational Therapy
Jordan,jordan@test.com, Pharmacology and Pharmacy
Gary,gary@test.com, Pharmacology and Pharmacy
Craig,craig@test.com, Pharmacology and Pharmacy
Liz,liz@test.com, Philosophy
Samantha,samantha@test.com, Philosophy
Julian,julian@test.com, Philosophy
Liz,liz@test.com, Physics and Astronomy
Samantha,samantha@test.com, Physics and Astronomy
Julian,julian@test.com, Physics and Astronomy
Liz,liz@test.com, Physiotherapy
Samantha,samantha@test.com, Physiotherapy
Julian,julian@test.com, Physiotherapy
Neil,neil@test.com, Politics
Brad,brad@test.com, Politics
Sophie,sophie@test.com, Politics
Neil,neil@test.com, Project Management
Brad,brad@test.com, Project Management
Sophie,sophie@test.com, Project Management
Neil,neil@test.com, Psychology
Brad,brad@test.com, Psychology
Sophie,sophie@test.com, Psychology
Martha,martha@test.com, Public Health
Jonathan,jonathan@test.com, Public Health
Joe,joe@test.com, Public Health
Martha,martha@test.com, Real Estate
Jonathan,jonathan@test.com, Real Estate
Joe,joe@test.com, Real Estate
Martha,martha@test.com, Robotics
Jonathan,jonathan@test.com, Robotics
Joe,joe@test.com, Robotics
Steven,steven@test.com, Social Policy
Ethan,ethan@test.com, Social Policy
Dillon,dillon@test.com, Social Policy
Steven,steven@test.com, Social Work
Ethan,ethan@test.com, Social Work
Dillon,dillon@test.com, Social Work
Steven,steven@test.com, Sociology
Ethan,ethan@test.com, Sociology
Dillon,dillon@test.com, Sociology
Esther,esther@test.com, Sports Science
Louis,louis@test.com, Sports Science
Erin,erin@test.com, Sports Science
Esther,esther@test.com, TESOL
Louis,louis@test.com, TESOL
Erin,erin@test.com, TESOL
Esther,esther@test.com, Veterinary Medicine
Louis,louis@test.com, Veterinary Medicine
Erin,erin@test.com, Veterinary Medicine
Matt,matt@test.com, Youth Work
Ben,ben@test.com, Youth Work
Jack,jack@test.com, Youth Work
