mentee_name,email,course
Student_55,student_55@test.com, Complementary Medicine
Student_56,student_56@test.com, Complementary Medicine
Student_57,student_57@test.com, Complementary Medicine
Student_58,student_58@test.com, Computer Science
Student_59,student_59@test.com, Computer Science
Student_60,student_60@test.com, Computer Science
Student_61,student_61@test.com, Counselling
Student_62,student_62@test.com, Counselling
Student_63,student_63@test.com, Counselling
Student_64,student_64@test.com, Creative Writing
Student_65,student_65@test.com, Creative Writing
Student_66,student_66@test.com, Creative Writing
Student_67,student_67@test.com, Criminology
Student_68,student_68@test.com, Criminology
Student_69,student_69@test.com, Criminology
Student_70,student_70@test.com, Data Science
Student_71,student_71@test.com, Data Science
Student_72,student_72@test.com, Data Science
Student_73,student_73@test.com, Dentistry
Student_74,student_74@test.com, Dentistry
Student_75,student_75@test.com, Dentistry
Student_76,student_76@test.com, Drama Dance and Cinematics
Student_77,student_77@test.com, Drama Dance and Cinematics
Student_78,student_78@test.com, Drama Dance and Cinematics
Student_79,student_79@test.com, Economics
Student_80,student_80@test.com, Economics
Student_81,student_81@test.com, Economics
Student_82,student_82@test.com, Education
Student_83,student_83@test.com, Education
Student_84,student_84@test.com, Education
Student_85,student_85@test.com, Electrical and Electronic Engineering
Student_86,student_86@test.com, Electrical and Electronic Engineering
Student_87,student_87@test.com, Electrical and Electronic Engineering
Student_88,student_88@test.com, English
Student_89,student_89@test.com, English
Student_90,student_90@test.com, English
Student_91,student_91@test.com, Fashion
Student_92,student_92@test.com, Fashion
Student_93,student_93@test.com, Fashion
Student_94,student_94@test.com, Film Making
Student_95,student_95@test.com, Film Making
Student_96,student_96@test.com, Film Making
Student_97,student_97@test.com, Food Science
Student_98,student_98@test.com, Food Science
Student_99,student_99@test.com, Food Science
Student_100,student_100@test.com, Forensic Science
Student_101,student_101@test.com, Forensic Science
Student_102,student_102@test.com, Forensic Science
Student_103,student_103@test.com, General Engineering
Student_104,student_104@test.com, General Engineering
Student_105,student_105@test.com, General Engineering
Student_106,student_106@test.com, Geography and Environmental Sciences
Student_107,student_107@test.com, Geography and Environmental Sciences
Student_108,student_108@test.com, Geography and Environmental Sciences
Student_109,student_109@test.com, Geology
Student_110,student_110@test.com, Geology
Student_111,student_111@test.com, Geology
Student_112,student_112@test.com, Health And Social Care
Student_113,student_113@test.com, Health And Social Care
Student_114,student_114@test.com, Health And Social Care
Student_115,student_115@test.com, History
Student_116,student_116@test.com, History
Student_117,student_117@test.com, History
Student_118,student_118@test.com, History of Art Architecture and Design
Student_119,student_119@test.com, History of Art Architecture and Design
Student_120,student_120@test.com, History of Art Architecture and Design
Student_121,student_121@test.com, Hospitality Leisure Recreation and Tourism
Student_122,student_122@test.com, Hospitality Leisure Recreation and Tourism
Student_123,student_123@test.com, Hospitality Leisure Recreation and Tourism
Student_124,student_124@test.com, Information Technology
Student_125,student_125@test.com, Information Technology
Student_126,student_126@test.com, Information Technology
Student_127,student_127@test.com, Land and Property Management
Student_128,student_128@test.com, Land and Property Management
Student_129,student_129@test.com, Land and Property Management
Student_130,student_130@test.com, Law
Student_131,student_131@test.com, Law
Student_132,student_132@test.com, Law
Student_133,student_133@test.com, Linguistics
Student_134,student_134@test.com, Linguistics
Student_135,student_135@test.com, Linguistics
Student_136,student_136@test.com, Marketing
Student_137,student_137@test.com, Marketing
Student_138,student_138@test.com, Marketing
Student_139,student_139@test.com, Materials Technology
Student_140,student_140@test.com, Materials Technology
Student_141,student_141@test.com, Materials Technology
Student_142,student_142@test.com, Mathematics
Student_143,student_143@test.com, Mathematics
Student_144,student_144@test.com, Mathematics
Student_145,student_145@test.com, Mechanical Engineering
Student_146,student_146@test.com, Mechanical Engineering
Student_147,student_147@test.com, Mechanical Engineering
Student_148,student_148@test.com, Medical Technology
Student_149,student_149@test.com, Medical Technology
Student_150,student_150@test.com, Medical Technology
Student_151,student_151@test.com, Medicine
Student_152,student_152@test.com, Medicine
Student_153,student_153@test.com, Medicine
Student_154,student_154@test.com, Music
Student_155,student_155@test.com, Music
Student_156,student_156@test.com, Music
Student_157,student_157@test.com, Neuroscience
Student_158,student_158@test.com, Neuroscience
Student_159,student_159@test.com, Neuroscience
Student_160,student_160@test.com, Nursing
Student_161,student_161@test.com, Nursing
Student_162,student_162@test.com, Nursing
Student_163,student_163@test.com, Occupational Therapy
Student_164,student_164@test.com, Occupational Therapy
Student_165,student_165@test.com, Occupational Therapy
Student_166,student_166@test.com, Pharmacology and Pharmacy
Student_167,student_167@test.com, Pharmacology and Pharmacy
Student_168,student_168@test.com, Pharmacology and Pharmacy
Student_169,student_169@test.com, Philosophy
Student_170,student_170@test.com, Philosophy
Student_171,student_171@test.com, Philosophy
Student_172,student_172@test.com, Physics and Astronomy
Student_173,student_173@test.com, Physics and Astronomy
Student_174,student_174@test.com, Physics and Astronomy
Student_175,student_175@test.com, Physiotherapy
Student_176,student_176@test.com, Physiotherapy
Student_177,student_177@test.com, Physiotherapy
Student_178,student_178@test.com, Politics
Student_179,student_179@test.com, Politics
Student_180,student_180@test.com, Politics
Student_181,student_181@test.com, Project Management
Student_182,student_182@test.com, Project Management
Student_183,student_183@test.com, Project Management
Student_184,student_184@test.com, Psychology
Student_185,student_185@test.com, Psychology
Student_186,student_186@test.com, Psychology
Student_187,student_187@test.com, Public Health
Student_188,student_188@test.com, Public Health
Student_189,student_189@test.com, Public Health
Student_190,student_190@test.com, Real Estate
Student_191,student_191@test.com, Real Estate
Student_192,student_192@test.com, Real Estate
Student_193,student_193@test.com, Robotics
Student_194,student_194@test.com, Robotics
Student_195,student_195@test.com, Robotics
Student_196,student_196@test.com, Social Policy
Student_197,student_197@test.com, Social Policy
Student_198,student_198@test.com, Social Policy
Student_199,student_199@test.com, Social Work
Student_200,student_200@test.com, Social Work
Student_201,student_201@test.com, Social Work
Student_202,student_202@test.com, Sociology
Student_203,student_203@test.com, Sociology
Student_204,student_204@test.com, Sociology
Student_205,student_205@test.com, Sports Science
Student_206,student_206@test.com, Sports Science
Student_207,student_207@test.com, Sports Science
Student_208,student_208@test.com, TESOL
Student_209,student_209@test.com, TESOL
Student_210,student_210@test.com, TESOL
Student_211,student_211@test.com, Veterinary Medicine
Student_212,student_212@test.com, Veterinary Medicine
Student_213,student_213@test.com, Veterinary Medicine
Student_214,student_214@test.com, Youth Work
Student_215,student_215@test.com, Youth Work
Student_216,student_216@test.com, Youth Work
